capacity_mw,latitude,longitude,primary_fuel,generation_gwh_2016,State
3.5,41.4067,-84.1108,Solar,4.888,OH
578,42.1106,-71.4535,Gas,2226.285,MA
578,42.0599,-71.5158,Gas,1524.228,MA
7.9,39.3975,-76.2991,Gas,16.112,MD
1,38.7614,-122.9753,Solar,1.541,CA
1.3,33.8364,-117.9169,Gas,2.728,CA
1.3,37.4176,-121.9445,Gas,4.229,CA
253,34.7803,-118.4244,Solar,614.294,CA
3.7,34.7489,-117.9736,Solar,0,CA
2.8,29.594,-98.0407,Hydro,13.634,TX
111,45.4299,-98.494,Gas,9.083,SD
15.6,36.2399,-106.423,Hydro,0,NM
1389.2,30.4286,-92.4131,Gas,6667.548,LA
1.6,42.4733,-71.4306,Solar,2.123,MA
3,32.1825,-110.8633,Solar,4.481,AZ
4.7,41.7989,-70.7436,Solar,6.089,MA
1,41.6622,-71.0425,Solar,1.763,MA
3.2,41.7144,-70.9972,Solar,4.526,MA
1.9,41.7517,-70.9706,Solar,2.705,MA
33.1,42.9627,-85.4941,Gas,162.129,MI
1.4,42.9506,-85.4859,Hydro,7.101,MI
174.8,41.4236,-94.665,Wind,485.613,IA
3.1,39.4114,-74.5309,Solar,4.839,NJ
1.2,39.7867,-104.5877,Solar,2.935,CO
1.2,39.7876,-104.5859,Solar,2.935,CO
3,42.6,-72.2,Solar,4.195,MA
154.3,40.92,-94.6717,Wind,483.943,IA
24,43.5548,-92.7241,Wind,57.259,MN
20,44.9169,-94.7356,Wind,64.864,MN
20,34.5572,-117.3775,Solar,57.181,CA
7,34.5572,-117.3775,Solar,17.202,CA
10,34.5508,-117.4353,Solar,16.245,CA
20,37.1206,-120.3249,Solar,37.763,CA
5,42.3622,-89.8036,Gas,25.34,IL
1.2,37.3306,-121.8931,Gas,8.774,CA
2,43.6371,-95.9328,Oil,0.008,MN
2.4,41.891,-83.9929,Waste,17.903,MI
1,42.015,-72.5119,Solar,1.447,MA
3,36.4725,-101.3278,Wind,2.408,TX
6.2,35.9533,-120.86,Gas,48.917,CA
3,38.6135,-121.1629,Solar,5.725,CA
2.7,38.6086,-121.1703,Solar,3.861,CA
287,32.1142,-106.8465,Gas,0,NM
1.9,47.0053,-96.4356,Wind,5.379,MN
1.5,42.0819,-72.6144,Solar,2.183,MA
32,37.4058,-121.9272,Gas,16.64,CA
1,41.6919,-90.8664,Biomass,4.058,IA
12.1,30.2012,-93.1269,Waste,80.884,LA
8.4,41.3017,-89.6236,Wind,5.891,IL
347.7,32.9774,-113.4945,Solar,743.533,AZ
613.5,33.5561,-112.2153,Gas,84.854,AZ
60.5,34.0414,-117.3603,Gas,6.466,CA
25,38.8339,-122.881,Geothermal,125.286,CA
59.4,42.4489,-99.8917,Wind,176.314,NE
169.1,29.8665,-93.9651,Gas,830.64,TX
1.5,39.8994,-104.6753,Solar,2.523,CO
10,38.2844,-104.5308,Oil,-0.209,CO
1.8,41.1533,-81.5689,Biomass,8.22024,OH
2.4,41.4043,-74.3767,Waste,7.109,NY
69,31.5825,-87.4889,Biomass,439.412154,AL
48,31.5825,-87.4889,Biomass,310.491884,AL
0.8,62.6833,-164.6544,Oil,0,
54.8,37.7886,-122.2889,Gas,0,CA
19.6,34.8158,-118.6867,Hydro,67,CA
20,34.6822,-117.3475,Solar,52.591,CA
5,32.8657,-105.9998,Solar,11.552,NM
53.2,37.4594,-105.8947,Gas,4.072,CO
6.2,40.245,-94.339,Oil,0,MO
4.6,42.655,-73.7777,Gas,32.284,NY
10,45.6413,-94.5993,Solar,0,MN
1.8,35.3636,-80.1939,Oil,0.081,NC
3.6,35.4072,-80.1518,Oil,0.09,NC
5,35.2931,-77.5569,Solar,9.678,NC
42,48.1802,-116.9986,Hydro,208.4,ID
5,35.093,-77.8127,Solar,11.104,NC
4,34.3634,-86.2239,Oil,0,AL
2,35.169,-106.6,Solar,4.37,NM
8,44.562,-83.8045,Hydro,29.953,MI
41.4,42.5484,-106.7175,Hydro,108.678,WY
10.9,46.1584,-123.406,Gas,0.01274,WA
50,46.8016,-122.3102,Hydro,251.255,WA
2.8,40.0006,-74.735,Solar,3.675,NJ
4.2,45.1875,-89.7553,Hydro,28.669,WI
50.7,38.4247,-99.5075,Wind,203.443,KS
9.2,45.8892,-95.3797,Oil,0,MN
16.1,43.0733,-94.2392,Oil,137.273004,IA
61.5,36.6842,-119.5522,Gas,120.258,CA
20,35.1261,-119.2433,Solar,45.907,CA
71,41.9227,-72.6255,Gas,140.352212,CT
2.1,44.5192,-73.4648,Hydro,0.114,NY
2.6,42.5638,-85.954,Hydro,14.91,MI
67,42.5027,-78.0686,Gas,86.953,NY
556,40.5453,-79.7686,Gas,0,PA
13.6,40.8966,-79.479,Hydro,86.667,PA
17.8,40.956,-79.5507,Hydro,106.54,PA
9.2,40.7164,-79.5772,Hydro,34.605,PA
9.2,40.6829,-79.6653,Hydro,38.359,PA
80,40.3839,-78.5794,Wind,202.849,PA
1610.8,35.0741,-90.1487,Coal,3480.660013,AR
598.4,45.03,-92.7786,Coal,2715.573021,MN
22.5,32.995,-81.2819,Waste,162.662,SC
3.8,43.4,-95.6333,Wind,4.024,IA
4,44.6603,-74.8603,Hydro,20.175,NY
3.2,41.1511,-76.9178,Waste,25.676,PA
25,29.6833,-89.975,Gas,0,LA
371,44.1936,-88.5064,Gas,0,WI
3.1,42.0243,-91.704,Oil,0,IA
3.6,41.7958,-92.0592,Oil,0,IA
5.6,42.0289,-91.5975,Oil,0.011,IA
16,42.0356,-91.6458,Oil,0.16562,IA
11.4,42.056,-92.8971,Oil,0,IA
2.1,43.0906,-91.5542,Oil,0,IA
5.6,41.935,-91.6361,Oil,0.29596,IA
3.6,42.4906,-90.745,Oil,0,IA
1.6,43.3744,-92.1331,Oil,0.00784,IA
2.9,42.53,-90.6847,Oil,0.0294,IA
1.2,42.0264,-91.7042,Oil,0.00294,IA
4.1,41.9167,-91.6542,Oil,0.01078,IA
5.4,42.8381,-93.6033,Oil,0.05488,IA
1.1,41.9244,-91.6385,Oil,0.00098,IA
6.1,41.9701,-91.6662,Oil,0.07546,IA
1,42.0277,-91.7111,Gas,0.02058,IA
6.5,61.0844,-146.3533,Hydro,0.881,AK
223.5,37.5744,-120.985,Gas,111.901,CA
50,35.8983,-119.4353,Solar,133.296,CA
20,35.9025,-119.4428,Solar,52.471,CA
1,39.305,-76.9019,Waste,4.756,MD
453.8,45.0637,-84.8253,Gas,319.871,MI
66,34.7892,-118.5047,Solar,165.117,CA
173,39.5698,-90.436,Gas,7.713,IL
1,42.6736,-95.3026,Oil,0,IA
1,39.216,-120.8036,Hydro,3.123,CA
150,35.0337,-118.3534,Wind,413.363,CA
150,35.0239,-118.2953,Wind,360.216,CA
150,35.0239,-118.2953,Wind,380.465,CA
102,35.0086,-118.2422,Wind,183.393,CA
168,35.0086,-118.2422,Wind,293.378,CA
150,35.0267,-118.2348,Wind,294.789,CA
138,35.06,-118.2,Wind,364.926,CA
90,35.065,-118.39,Wind,276.368,CA
66,34.0594,-117.7742,Gas,0,CA
49.5,37.7325,-121.116,Gas,10.941,CA
7.2,39.0687,-88.7555,Oil,0.081,IL
8.6,37.7493,-121.6499,Waste,45.492,CA
71.1,37.1187,-79.2736,Waste,0,VA
25.1,33.915,-116.5551,Wind,30.957,CA
8.7,43.6058,-116.5753,Gas,0,ID
10.2,42.5328,-114.4328,Coal,51.971438,ID
4.2,40.5664,-74.2214,Solar,5.962,NJ
1.1,34.0884,-117.2458,Gas,7.923,CA
1.1,67.088,-157.8567,Oil,1.316,
3,40.3008,-120.105,Geothermal,0,CA
14.4,37.3097,-78.0589,Waste,21.92,VA
2.3,39.674,-121.73,Waste,15.857,CA
7.8,42.1626,-72.5367,Waste,49.526,MA
9.2,34.4317,-118.6429,Waste,48.046,CA
4.2,32.6486,-96.6444,Waste,26.53,TX
5,39.0339,-75.7233,Waste,28.771,DE
5,38.5992,-75.4342,Waste,22.985,DE
4.4,37.8834,-121.1851,Waste,32.649,CA
3,42.7083,-89.0208,Waste,11.214,WI
3,38.5524,-92.0449,Waste,23.691,MO
1.4,36.5342,-121.4086,Waste,10.46,CA
3.8,38.0039,-121.9345,Waste,30.295,CA
11.4,37.5,-122.4,Waste,85.387,CA
4.4,38.0297,-120.9297,Waste,26.786,CA
3,36.9178,-121.8156,Waste,19.626,CA
2.2,38.3842,-77.4131,Waste,8.809,VA
4.4,37.7544,-121.7289,Waste,33.251,CA
6.5,47.7647,-96.6334,Coal,41.4384,MN
6,48.5932,-97.1761,Coal,33.85203,ND
7.5,47.9272,-97.0072,Coal,40.68762,ND
13.3,47.4376,-97.0631,Coal,74.798727,ND
5,46.9026,-96.7611,Coal,38.80388,MN
92.4,42.7778,-112.8764,Hydro,243.379,ID
9.6,39.6486,-106.9494,Gas,19.535,CO
108.8,42.0258,-93.6089,Gas,280.734997,IA
78.7,42.0272,-93.5828,Oil,0.453,IA
3.6,37.866,-107.8831,Hydro,6.972,CO
3,35.3169,-81.9264,Solar,3.734,NC
1.7,42.3717,-72.5122,Gas,0,MA
66,29.4498,-101.0601,Hydro,48.58,TX
16,43.0022,-71.4721,Hydro,69.643,NH
12.5,37.1067,-120.2485,Waste,68.912,CA
1,32.269,-110.975,Solar,0.077,AZ
99.8,29.2347,-100.2092,Wind,338.846,TX
7.8,39.757,-81.1155,Oil,0.072,OH
534.9,35.0847,-98.23,Gas,1434.062,OK
49.2,33.8535,-117.8563,Gas,123.093,CA
2.1,33.8025,-117.9197,Solar,3.389,CA
6,41.8508,-91.2342,Wind,7.084,IA
77.9,61.2221,-149.8661,Gas,45.082,AK
1112.4,28.1844,-82.7886,Gas,0,FL
168.7,40.0529,-85.7389,Gas,12.342,IN
2,41.6014,-93.5765,Oil,0.008,IA
1.9,34.9756,-78.5167,Solar,4.158,NC
40,43.3571,-115.4515,Hydro,145.394,ID
3.2,34.5739,-82.4621,Waste,9.44,SC
5,33.0294,-103.8558,Wind,17.782,NM
10,33.0139,-103.865,Wind,40.666,NM
5,35.1608,-77.1099,Solar,9.942,NC
3.6,44.1353,-70.2015,Hydro,0,ME
163.5,44.5063,-70.2423,Gas,0,ME
80,44.5063,-70.2395,Biomass,337.771005,ME
5,35.6511,-81.2086,Solar,10.12,NC
1.4,38.0719,-120.5394,Hydro,5.833,CA
5,35.5164,-78.75,Solar,8.171,NC
1.5,57.4992,-134.5861,Oil,1.714,AK
405.7,43.6035,-96.6356,Gas,65.708,SD
1.6,38.2336,-122.0925,Wind,3.936,CA
8.6,30.4342,-81.6454,Gas,0,FL
26.1,38.5978,-90.2107,Gas,0,MO
1.7,61.5807,-159.5356,Oil,2.614,
18.8,36.7251,-108.192,Gas,24.01,NM
2.9,41.4442,-94.7665,Oil,0.039,IA
6,45.247,-94.1069,Solar,0,MN
4,58.3176,-134.101,Hydro,25.644,AK
1.5,41.2892,-99.3863,Gas,0.005,NE
29,44.7975,-69.8867,Hydro,108.31707,ME
343.8,34.9687,-79.9217,Gas,253.427003,NC
4,41.4169,-72.2344,Solar,6.471,CT
20,34.6948,-118.2877,Solar,17.07,CA
50,34.6556,-118.2807,Solar,6.69,CA
5,34.6869,-118.3117,Solar,1.388,CA
167.4,33.865,-101.8433,Gas,82.406,TX
869.8,47.3705,-101.8357,Coal,5923.688992,ND
11.1,37.1517,-98.0311,Gas,0.826,KS
1.7,41.6272,-83.5747,Solar,2.115,OH
660.7,32.0603,-109.8931,Coal,0,AZ
93.6,35.1677,-84.2956,Hydro,177.87,TN
600.6,36.416,-114.9609,Gas,3423.755,NV
20,36.39,-114.97,Solar,52.232,NV
10.5,35.5883,-81.2667,Waste,63.328,NC
20,35.7389,-81.2078,Solar,43.133,NC
21,35.5881,-81.252,Solar,42.92,NC
17.5,35.715,-81.15,Solar,38.998,NC
5,35.6294,-81.1569,Solar,9.511,NC
2.4,45.1576,-92.7162,Hydro,15.095,WI
2.2,44.2539,-88.4096,Hydro,14.759,WI
1,39.9647,-75.6578,Solar,1.079,PA
90,34.8147,-105.0108,Wind,268.201,NM
194,39.6692,-105.0018,Gas,59.277,CO
3.5,36.4611,-80.6006,Solar,6.367,NC
2,35.3964,-77.7036,Solar,3.167,NC
100,34.3869,-97.1369,Wind,405.655,OK
16.9,44.2524,-91.5034,Oil,0.238,WI
1.2,39.9861,-84.5503,Oil,0.015,OH
1.8,39.9867,-84.5513,Oil,0.103,OH
176.2,41.635,-87.1387,Gas,576.940994,IN
152,41.6638,-87.4523,Gas,248.376262,IN
20.5,41.2119,-80.8176,Gas,0,OH
68,41.4739,-81.6728,Gas,156.708003,OH
92.9,41.485,-75.5406,Gas,180.377,PA
2,39.445,-76.217,Solar,1.497,MD
2,39.445,-76.217,Solar,1.659,MD
294.6,41.9221,-91.6875,Coal,943.520004,IA
180,41.8206,-90.2097,Coal,720.965996,IA
71.4,41.4164,-97.2863,Coal,0,NE
335,39.8701,-88.8908,Coal,1047.995003,IL
7.9,41.6244,-93.5845,Coal,0,IA
7.9,40.8665,-96.6145,Coal,0,NE
6.1,44.1871,-93.9924,Coal,22.83,MN
36,40.6772,-89.6049,Gas,0,IL
52.5,33.9397,-77.9905,Gas,1.313,NC
6.3,41.7165,-87.9706,Gas,13.261,IL
62.5,35.765,-117.3833,Coal,325.958001,CA
2.3,42.7019,-89.8697,Oil,0.171,WI
9.2,33.4172,-111.9283,Gas,50.187,AZ
4.7,32.6878,-114.4961,Solar,9.854,AZ
3,37.1106,-100.8036,Gas,9.222,KS
1845,35.311,-93.2351,Nuclear,13421.022,AR
1.3,32.6391,-97.2429,Hydro,0,TX
713,33.3417,-112.8897,Gas,1885.829,AZ
129,33.305,-112.8339,Solar,364.396,AZ
103,45.7167,-120.2008,Wind,201.811,WA
100.5,41.7619,-76.8553,Wind,262.39,PA
688,40.638,-79.3517,Gas,1171.910004,PA
5,35.7792,-81.1756,Solar,9.617,NC
1.1,41.4219,-100.1956,Oil,0,NE
1.4,45.7517,-91.2028,Hydro,7.358,WI
2,34.655,-118.0511,Solar,2.835,CA
1.5,34.6506,-118.0519,Solar,4.41,CA
4,34.6478,-118.0611,Solar,3.567,CA
15,43.595,-115.9233,Hydro,66.805,ID
125,32.5181,-93.7611,Gas,30.81,LA
895.5,40.5916,-74.2,Gas,1095.259,NY
575,29.257,-98.384,Gas,2673.692,TX
22.5,44.69,-106.1092,Gas,0.165,WY
654.1,30.4522,-84.4,Gas,0,FL
1.9,32.1081,-110.8247,Solar,1.036,AZ
212.8,37.3613,-94.5893,Coal,1090.318,MO
52.1,29.2558,-95.2103,Gas,226.77921,TX
13.2,43.4011,-72.4203,Oil,0.195,VT
156.5,33.6417,-94.1083,Biomass,573.418001,AR
837.1,35.4731,-82.5417,Gas,1517.187977,NC
5.6,37.1938,-99.7631,Oil,0.408,KS
4,36.1261,-80.7989,Solar,7.686,NC
4.6,41.949,-74.2063,Hydro,10.876,NY
26.1,41.89,-80.7612,Gas,150.573,OH
48,47.1244,-97.8961,Wind,159.794,ND
120,47.2924,-97.9317,Wind,402.095,ND
62.4,47.1242,-97.8956,Wind,217.168,ND
6.7,44.0786,-111.4973,Hydro,28.779,ID
5,34.7912,-78.0121,Solar,9.984,NC
595,40.7825,-73.8964,Gas,3369.712036,NY
650,40.7813,-73.8966,Gas,2906.86502,NY
646.9,40.787,-73.9048,Gas,48.144,NY
1345,40.7877,-73.9126,Gas,821.336999,NY
10.2,29.9522,-95.2422,Waste,65.79,TX
8.5,44.9455,-69.6607,Waste,8.099,ME
1323,42.2728,-73.8492,Gas,0,NY
4.6,33.9625,-83.3981,Oil,0,GA
5,34.897,-77.7952,Solar,9.629,NC
1.2,33.7611,-84.3892,Oil,0,GA
10,41.409,-95,Gas,0.181,IA
2,39.3639,-74.4408,Solar,3.062,NJ
2.2,39.5199,-75.029,Solar,3.439,NJ
551.3,33.0147,-89.6753,Gas,3059.868,MS
4,45.1409,-94.7697,Solar,0,MN
20.2,35.895,-119.5108,Solar,41.255,CA
20,35.815,-119.4597,Solar,56.979,CA
18.7,40.3883,-95.8464,Gas,0.192,NE
2.2,42.9441,-76.5939,Waste,3.889,NY
7,42.9278,-76.5921,Gas,0.245,NY
130.1,28.0535,-81.8059,Gas,0,FL
814.4,39.3092,-91.5369,Gas,20.022,MO
3,35.3281,-81.6219,Solar,3.169,NC
3.6,41.2372,-84.3998,Hydro,8.743,OH
11.5,37.6785,-96.9719,Gas,-0.239,KS
20.7,37.6861,-96.965,Gas,-0.276,KS
4.9,35.5997,-77.6391,Solar,9.902,NC
36.2,58.3875,-134.6446,Oil,0.008,AK
1275,41.8151,-88.2265,Gas,382.098,IL
27.5,64.8477,-147.7351,Coal,0,AK
18,30.2934,-97.7844,Hydro,33.362,TX
6.4,30.3344,-97.6217,Waste,47.593,TX
1.9,44.4131,-96.4325,Wind,5.297,MN
35,20.596,-156.318,Wind,84.104,HI
1.2,36.4237,-79.9525,Hydro,5.249,NC
29,32.0014,-110.9606,Solar,79.764,AZ
16,32.0009,-110.9584,Solar,38.231,AZ
6,35.9897,-120.11,Solar,12.761,CA
3.6,41.7807,-89.6894,Oil,0.332,IL
712.1,41.5045,-82.0546,Coal,1100.295988,OH
67.4,27.5794,-81.4928,Oil,5.14,FL
26.5,32.3717,-111.2828,Solar,74.846,AZ
123,39.7475,-80.8547,Gas,381.324575,OH
306,30.2586,-91.185,Gas,1497.81204,LA
2,42.5761,-72.61,Solar,2.853,MA
25,37.7342,-120.9956,Solar,64.273,CA
8.4,43.5978,-71.7177,Hydro,37.229,NH
2,42.7919,-71.1775,Solar,2.868,MA
7.7,32.9808,-82.5917,Solar,14.279,GA
6.7,44.9439,-70.9975,Hydro,28.703,ME
3,34.1548,-117.9093,Hydro,0,CA
6.1,33.6887,-117.8348,Gas,36.55,CA
339.6,39.2908,-74.6364,Oil,89.868,NJ
2,43.6514,-95.3755,Wind,6.254,MN
92.7,29.002,-95.394,Gas,568.512,TX
1,40.6972,-74.305,Solar,1.431,NJ
4,43.6183,-95.4253,Wind,14.664,MN
7.5,40.0742,-74.6656,Waste,43.926,NJ
8,42.175,-120.3598,Solar,0.482,OR
5,34.9705,-80.3896,Solar,9.575,NC
1.6,33.93,-84.2378,Waste,8.633,GA
1,42.0197,-71.6041,Solar,0,MA
1.4,40.0985,-74.8259,Solar,0.299,NJ
11,34.8942,-82.1783,Waste,50.0927,SC
13.5,33.8153,-118.2358,Gas,0,CA
38.8,28.5707,-96.8333,Cogeneration,74.363,TX
9.5,41.8108,-88.1486,Gas,34.537,IL
5,36.3725,-78.5985,Solar,9.246,NC
1.6,41.7956,-71.2266,Solar,3.194,MA
5.6,43.8169,-111.7858,Gas,39.699,ID
74.5,26.8616,-81.751,Solar,0,FL
3,39.2997,-76.4942,Biomass,5.575,MD
10.4,41.5428,-72.0936,Oil,0.671,CT
242,31.3869,-84.08,Gas,71.918,GA
1296,35.0075,-82.9975,Hydro,-572.652,NC
14.8,33.498,-112.8135,Solar,41.342,AZ
46,35.4837,-119.0299,Gas,3.339,CA
188,27.2231,-97.7892,Wind,532.618,TX
5,35.7875,-78.1397,Solar,9.248,NC
641,41.645,-87.1225,Coal,1778.746991,IN
1.5,40.5264,-123.7256,Hydro,4.085,CA
5,36.2703,-77.0603,Solar,0.016,NC
1.4,35.3176,-118.9899,Solar,3.323,CA
1.1,35.4118,-118.9686,Solar,2.046,CA
31,36.9091,-119.0877,Hydro,132.644,CA
97.2,36.9089,-119.0876,Hydro,331.916,CA
1.7,45.2694,-122.7717,Solar,1.904,OR
4.2,38.7745,-95.1867,Oil,0.053,KS
6.4,38.7649,-95.192,Oil,0.181,KS
1894.1,38.205,-89.8544,Coal,9793.43103,IL
102.4,47.1133,-100.7086,Wind,398.349,ND
299.7,36.5181,-100.8472,Wind,1115.176,OK
2.4,43.1269,-72.7761,Hydro,0.826,VT
5,35.4589,-79.1739,Solar,9.543,NC
2,39.436,-76.22,Solar,3.212,MD
2,39.436,-76.22,Solar,3.209,MD
2,39.436,-76.22,Solar,3.234,MD
2,39.436,-76.22,Solar,3.343,MD
4.2,43.2926,-94.2171,Oil,0.011,IA
3,33.7708,-84.3861,Oil,0,GA
53.9,33.4587,-87.3568,Hydro,-0.325,AL
1.6,42.7878,-112.3656,Waste,10.884,ID
9,30.3145,-81.6627,Gas,0,FL
4,43.6136,-70.5525,Hydro,6.333,ME
22.5,43.7219,-105.7689,Gas,0.124,WY
4.1,43.561,-116.1213,Hydro,12.163,ID
30.2,30.96,-103.35,Solar,60.923,TX
1.5,44.0867,-70.2297,Hydro,2.594,ME
130,37.0217,-88.2211,Hydro,486.04,KY
1082.2,27.6064,-97.3117,Gas,900.721,TX
3.1,36.2692,-76.2995,Solar,0,NC
4,41.6597,-70.3956,Solar,5.187,MA
1.5,42.362,-72.109,Solar,2.543,MA
49.8,33.8073,-117.9832,Gas,28.75,CA
11.9,42.1622,-71.8645,Solar,0,MA
8.6,45.4019,-91.8404,Oil,0.338,WI
20.3,71.292,-156.7786,Gas,50.162,
2569.5,31.0069,-88.0103,Gas,12770.89104,AL
1,40.1671,-111.4995,Hydro,1.438,UT
173,32.662,-85.0916,Hydro,362.014,GA
120,33.068,-98.3377,Wind,277.516,TX
1.9,44.7254,-72.184,Solar,2.93,VT
160,43.393,-93.091,Wind,401.272,IA
5,39.3631,-106.8219,Hydro,22.69,CO
2,42.7893,-70.88,Solar,0,MA
54.9,45.9293,-112.5194,Gas,92.242,MT
5.6,42.6944,-74.9242,Oil,0.03,NY
618.7,30.1458,-97.55,Gas,2785.751,TX
67.3,42.9828,-78.1592,Gas,48.591,NY
891,34.3356,-89.9275,Gas,4321.799,MS
2862,38.2089,-79.8,Hydro,-768.62,VA
40,64.8167,-147.725,Storage,-2.392,AK
4,40.2603,-82.8331,Storage,-0.479,OH
4,42.3221,-85.2043,Gas,0,MI
5.2,36.0586,-77.7608,Solar,7.528,NC
3.5,35.22,-81.33,Solar,6.199,NC
4.8,38.8608,-84.6556,Waste,26.72,KY
1327.6,32.2831,-90.9306,Gas,616.232998,MS
13.6,30.2661,-85.5207,Waste,57.36,FL
67.2,46.5872,-90.9017,Waste,0,WI
12,41.6883,-83.4847,Gas,4.538,OH
1.8,45.7644,-84.7381,Wind,2.4,MI
30,32.9697,-100.5242,Wind,72.976,TX
226.8,27.7581,-82.6353,Oil,2.548,FL
512,40.6528,-74.0915,Gas,1115.660047,NJ
1.5,40.6528,-74.1178,Wind,0.71,NJ
191.6,40.6553,-74.1124,Gas,0,NJ
312.2,29.6225,-95.0458,Gas,2221.55804,TX
416,30.2825,-92.5997,Gas,123.163,LA
60.5,40.6107,-73.7622,Gas,226.511,NY
932.9,29.7731,-94.9019,Gas,4565.071,TX
12,37.2717,-75.9682,Oil,3.933,VA
7.1,39.9094,-74.178,Oil,6.309,NJ
11.2,40.6376,-74.2212,Cogeneration,67.682,NJ
3.2,40.5345,-121.9591,Hydro,6.078,CA
9,35.2427,-83.072,Hydro,18.298,NC
1.5,38.1364,-121.1489,Solar,3.722,CA
559,37.6956,-78.2853,Gas,3614.390001,VA
46,35.4192,-118.9266,Gas,8.073,CA
600,42.6839,-72.9599,Hydro,-151.394,MA
1.4,33.1662,-117.0166,Hydro,0.806,CA
8.4,34.2506,-116.9025,Gas,-0.036,CA
4.8,36.2761,-78.3772,Solar,13.625,NC
20,43.0191,-74.7413,Hydro,44.997,NY
10,38.2026,-120.077,Hydro,68.443,CA
247.1,40.3302,-96.8082,Gas,258.967,NE
15,35.456,-77.134,Solar,29.02,NC
610.7,46.1724,-123.1739,Gas,0,WA
5,42.8475,-108.3136,Gas,25.788,WY
112,36.4215,-93.8474,Hydro,164.928,AR
22,41.6114,-76.8431,Gas,62.346,PA
5.4,55.3798,-131.4703,Hydro,42.915,AK
3.3,45.7291,-85.5244,Oil,0.073,MI
4.5,44.4967,-69.35,Wind,12.73,ME
7.4,41.153,-74.6381,Solar,9.664,NJ
1.3,40.6914,-80.3239,Solar,1.546,PA
1846.8,40.6219,-80.4336,Nuclear,15219.574,PA
1.2,40.7441,-80.3178,Hydro,3.121,PA
1.8,40.5683,-74.2425,Solar,2.542,NJ
50.4,43.2569,-84.4997,Wind,144.759,MI
81.6,43.2569,-84.4997,Wind,220.12,MI
9,43.9767,-75.9072,Hydro,41.902,NY
100.5,38.0878,-80.4925,Wind,274.621,WV
31.5,38.0878,-80.4925,Storage,-5.189,WV
3.3,41.3811,-87.6375,Waste,14.713,IL
80,43.16,-98.08,Wind,327.112,SD
4,35.1785,-81.665,Solar,0,NC
1,42.2595,-72.4004,Solar,1.051,MA
117.9,40.0074,-121.2494,Hydro,181.578,CA
5.7,44.0525,-73.1762,Hydro,11.824,VT
2491.2,36.2811,-80.0603,Coal,10731.17635,NC
2,43.9275,-75.3331,Hydro,10.838,NY
